RAMP_TO_RAMP,AIR_TIME,DISTANCE
3623,2957,931
3002,2410,848
2362,1927,649
2586,2099,649
1900,1474,406
2106,1667,495
2267,1768,495
5553,4854,1558
2297,1855,602
3378,2606,967
5079,4581,1449
2477,2102,649
4135,3727,1449
4071,3622,1123
3697,3315,1024
2294,1953,639
4331,3727,1154
2505,1967,563
3820,3296,1162
4108,3721,1162
3682,3167,927
3358,2861,927
3959,3556,1069
3665,3161,1069
2605,1988,637
1896,1491,420
3528,2812,850
3945,3314,931
3793,3158,913
2797,2170,541
2464,1993,649
3137,2540,775
2883,2440,775
2556,2054,641
5314,4840,1703
1835,1351,420
10354,9830,3329
10426,9826,3302
4942,4384,1506
6149,5423,1703
1979,1536,420
2021,1444,406
9492,9038,3329
9395,8906,3302
2309,1896,541
2416,2030,649
4580,4142,1447
5175,4728,1447
2947,2521,819
3388,2931,948
3153,2621,775
2363,1847,563
4219,3618,1024
2362,1908,541
2096,1555,483
2556,1837,483
1796,1630,172
3134,2557,809
1986,1672,277
4439,3827,1069
4249,3519,964
3135,2527,776
6766,6127,1754
5458,4872,1337
4310,3666,1199
2817,2274,649
4688,4034,1337
3973,3299,967
3264,2442,641
3109,2458,680
3344,2845,909
2923,2385,651
3262,2825,909
2361,1739,495
2104,1558,391
3005,2390,770
2737,2050,604
2151,1393,391
3528,2879,770
1612,1453,160
3899,3301,872
2398,1888,495
3759,3211,913
4531,3928,1014
4181,3467,1083
2454,1791,483
3391,2687,776
3422,2784,792
2957,2403,589
2930,2272,576
2646,1984,472
3823,3293,792
2323,1790,541
2656,2108,602
3742,3218,948
3451,2976,775
5018,4494,1558
4699,4132,1290
6369,5728,1703
3176,2730,836
2971,2372,604
3674,3054,977
2890,2297,628
4297,3573,977
2894,2159,628
1609,1453,160
2839,2350,680
3177,2555,680
2518,1888,533
1556,957,196
1574,943,196
1458,1207,170
1412,1194,170
2085,1772,277
2763,2034,533
3388,2626,679
2465,1891,472
4640,3998,1014
4266,3504,1014
2929,2267,576
2233,1572,423
2633,1832,472
3914,3104,834
5432,4751,1491
2905,2300,602
3174,2694,794
3951,3419,909
2715,2180,602
3566,3062,794
6471,6022,1610
6626,6136,1671
7495,6622,1754
4352,3760,1123
3219,2751,804
1191,534,73
3439,2763,775
3781,2932,872
5020,4498,1558
2972,2386,602
3313,2524,721
4003,3130,862
7068,6225,1709
2823,2236,602
4696,4025,1123
2669,2025,495
3126,2576,679
4913,4218,1083
4492,3481,911
2252,1630,423
2482,1952,423
3481,2933,775
6544,5733,1476
5217,4687,1476
4730,4234,1290
5331,4772,1436
3447,2848,794
4228,3453,991
6339,5555,1436
3960,3121,794
4530,3850,1123
6147,5620,1703
6966,6147,1703
4161,3463,862
3165,2479,722
2936,2363,627
4293,3443,911
4768,3401,862
6998,6063,1709
3568,2967,721
3287,2635,701
2490,1728,420
3775,2996,701
5065,4241,1199
3786,3223,836
4168,3271,862
3147,2485,602
4864,3659,967
3836,3092,862
4072,3524,1015
4131,3608,977
7550,6455,1605
4633,4131,1015
5151,4470,1083
5792,4673,1199
4723,4007,1154
4647,3946,991
3930,3399,853
6787,5863,1452
4024,3229,853
3961,3283,862
4108,3390,862
3972,3417,853
3738,2853,641
5088,4494,1123
3919,3247,862
3573,2833,680
3927,3177,853
3662,2883,722
2557,1902,419
