UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FREIGHT
6725,13851,11292,139
6725,14122,12892,0
6725,15016,11057,832
6003,15016,13264,0
6460,11292,13964,0
6460,14107,11292,0
6795,13487,11292,0
6904,11292,11292,0
6932,11233,11292,0
6932,11292,11292,0
7041,11292,11292,0
7041,13487,11292,0
7041,13502,11292,0
7041,13930,11292,0
6700,10397,11292,0
6700,11042,11292,0
6700,11109,11433,0
6700,11292,11986,0
6700,11292,12339,0
6700,11292,13198,0
6700,11423,13342,0
6700,11648,13495,0
6700,12278,11292,0
6700,13244,11292,0
6700,13433,11292,0
6700,13964,11292,0
6700,14489,11292,0
6700,14689,11292,0
6700,15370,11697,0
6700,15376,12451,0
0A875,10423,13198,174
0A875,11292,13796,86
0A875,11292,13851,0
0A875,11292,11292,0
0A875,11292,11292,0
0A875,11292,11292,2
0A875,11292,11292,0
0A875,11618,10397,65896
0A875,12339,11298,0
0A875,12339,13871,34
0A875,13264,14730,0
0A875,13342,11921,122
0A875,14100,13244,121
6725,11292,13244,0
6725,11292,11109,391
6725,11292,11292,8
6725,11292,11775,889
6725,11292,12889,497
6725,12451,11921,0
6725,14771,15412,1786
6725,14869,11292,1409
6003,10397,11292,0
6003,11292,11292,0
6003,11292,11292,0
6003,11292,11921,0
6003,11292,14524,0
6200,11109,11292,125368
6200,11292,11292,367675
6200,11292,11292,460413
6200,11921,11292,66319
6200,13244,10620,465747
6904,11292,10713,0
6035,11921,10800,0
6035,12889,11423,0
7041,11292,11603,0
7041,15412,11603,0
6700,10423,13342,0
6700,10561,13851,0
6700,11057,14122,0
6700,11292,14869,0
6700,11292,11292,0
6700,14524,11292,0
0A875,10620,11292,123
0A875,10713,11292,0
0A875,10800,11292,94
0A875,11292,11292,314
0A875,11292,11292,495
0A875,11292,11292,89
0A875,11292,11292,694
0A875,11292,11618,9
0A875,11292,14193,34
0A875,11292,14492,4
0A875,11292,11292,57
0A875,11292,11292,608
0A875,11292,11292,2692
0A875,11423,12094,193
0A875,11603,11292,0
0A875,13198,14730,0
0A875,13342,11292,10
0A875,14100,14107,327
0A875,14122,11292,51
0A875,15370,11042,1
6725,10423,11292,688
6725,11042,15376,3842
6725,11292,11292,1096
6725,11292,11292,0
6725,11292,10423,3608
6725,14193,10529,0
6725,15370,11433,76
6904,11003,11697,0
6904,11292,12953,0
6904,11775,13485,0
6910,11292,13487,433940
6910,14730,14747,579794
0A050,11292,15370,0
0A050,14107,11292,0
7041,11292,11292,0
6700,11193,11292,0
6700,11292,11884,0
6700,13851,12191,0
0A875,10423,12892,393
0A875,11292,13851,24
0A875,11292,14107,500
0A875,11292,14771,1089
0A875,11292,11292,47
0A875,11292,11292,62
0A875,11292,11292,24
0A875,11292,11292,4189
0A875,11292,14771,55
0A875,11292,11109,8
0A875,11603,13796,0
0A875,13495,12012,458
0A875,14869,11292,305
6725,11292,11292,1918
6725,11292,11109,817
6725,11292,10466,1092
6725,11292,12889,1610
6725,11292,12892,1273
6725,11292,11109,2813
6725,12889,11921,208
6725,13198,11292,284
6725,14492,10643,1163
6003,10693,11003,0
6460,11109,11648,0
6460,14771,13851,0
6200,11292,13851,147267
6904,11292,11292,0
6904,12012,11292,0
6904,12094,11292,0
6035,10466,11292,0
6035,11109,12339,0
6035,11109,14057,0
6035,11921,11292,0
6035,12889,11292,0
6035,12892,11292,0
1158,10643,11292,0
1158,11292,10397,0
6700,11292,10529,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11648,11278,0
6700,11921,11292,0
6700,13264,11292,0
0A875,10821,10800,38
0A875,11292,11066,404
0A875,11292,15376,81
0A875,11433,11292,679
0A875,11603,11292,3
0A875,12339,10821,395
0A875,13485,11423,224
6725,11292,11775,882
6725,11292,14262,8211
6725,12339,11292,2897
6725,13487,11292,3031
6725,14683,11292,219
6460,11292,11292,0
6910,14730,11292,297183
6700,11066,11042,0
6700,11292,12889,0
6700,11292,13487,0
6700,11292,14730,0
6700,15016,11292,0
0A875,10529,11292,178
0A875,11292,11292,509
0A875,11292,11109,1925
0A875,11292,11292,56
0A875,11292,11423,131
0A875,11423,11292,110
0A875,12264,13244,501
0A875,13495,11292,259
0A875,13891,15370,255
0A875,14262,11292,0
6725,11292,15177,3391
6725,11292,11292,321
6725,11292,14107,1259
6725,11292,10950,2736
6725,13851,12953,1541
6725,14730,11292,2418
6725,14771,11292,5484
6003,12266,11603,0
6460,11278,12264,0
6460,11292,13495,0
6460,11423,13871,0
6200,11292,13891,247774
6200,13244,14893,932323
6904,11292,11292,0
6904,15370,12264,0
6932,11292,11292,0
6932,15177,11292,0
1177,10950,11292,0
1177,14107,12892,0
1260,11292,11109,1607
6700,13851,11986,0
0A875,10821,12478,78
0A875,11292,11292,147
0A875,11292,14683,384
0A875,11292,11292,763
0A875,11292,11603,0
0A875,11292,13487,351
0A875,11292,14492,1621
0A875,11775,14747,318
6725,11292,11292,2751
6725,12892,11292,9031
6725,13198,11292,88
6725,14107,11292,1139
6460,11109,10693,0
6460,12892,11921,0
6904,11292,11292,0
6673,11292,11292,0
6673,12478,11193,0
7041,11292,11292,0
7041,14683,14869,0
6700,11292,11292,0
0A875,11292,10620,3504
0A875,11292,11423,186
0A875,11292,13342,79
0A875,11298,13871,616
0A875,13342,13891,90
0A875,13487,15304,37
0A875,14893,11292,500
6725,11292,11292,2576
6200,11638,11292,147172
6904,14783,11292,0
6035,11193,11292,0
6035,11292,10849,0
1260,12953,11003,4
6700,11292,11995,0
6700,13367,14747,0
0A875,11292,11292,719
0A875,11292,11292,4017
0A875,11292,11292,187
0A875,11292,11292,243
0A875,11292,11292,357
0A875,11292,10423,285
0A875,13204,14679,5
0A875,14492,11292,484
0A875,14679,11292,2
6460,10849,11292,0
6460,11003,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11995,10693,0
6460,14747,14747,0
6200,13796,11292,540673
6700,11003,11109,0
0A875,10620,11292,405
0A875,11292,14122,56
0A875,11292,11292,111
0A875,11423,11292,20
0A875,12266,11292,2188
0A875,13871,13485,47
0A875,13891,11292,81
0A875,14831,13244,12
6725,11259,12003,8741
6725,11697,15919,4467
6460,10693,11292,0
6460,11292,14747,0
6700,11109,11109,0
6700,11603,11292,0
6700,14747,13367,0
0A875,10140,10140,217
0A875,11292,11292,70
0A875,13871,11292,27
0A875,14122,11292,435
6003,11423,11292,0
6460,11292,11292,0
6460,13485,11292,0
6200,11292,10693,1163906
6904,11292,13486,0
6904,11292,15412,0
6904,15919,11292,0
6580,11109,11292,0
6580,14747,11638,0
1260,11433,13244,690
6700,11292,11292,0
0A875,11292,11292,316
0A875,12889,11921,615
0A875,12953,11292,0
0A875,14747,11292,437
0A875,14893,14107,182
6003,13244,10950,0
6460,10693,13487,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,13486,13198,0
6460,15412,14262,0
6200,11921,11292,317135
6200,11921,11292,321148
6200,13244,11292,482374
6200,13244,10140,1382593
6200,13244,11042,660324
6904,12003,12339,0
6904,12992,12889,0
1177,10950,11292,0
1177,14107,11292,0
1260,11292,11292,285
1260,11433,11292,926
7041,15370,11259,0
6700,10140,14057,0
6700,11292,14747,0
6700,11292,11292,0
6700,11540,11292,0
6700,14262,13367,0
0A875,11066,11540,252
0A875,11292,11603,466
0A875,11292,15919,503
0A875,11292,11292,113
0A875,11292,11292,287
0A875,13264,11292,87
0A875,13495,10821,791
0A875,14122,11066,1632
0A875,14831,12266,145
6725,11292,14122,3577
6460,11292,14831,0
6460,11292,14831,0
6460,14057,14869,0
6460,14747,15016,0
6904,11292,11292,0
6700,11292,11292,0
6700,11292,12889,0
6700,11292,15370,0
6700,11603,11292,0
6700,12278,11109,0
0A875,10140,11292,546
0A875,11292,11292,1405
0A875,11292,10620,2694
0A875,11292,13891,517
0A875,11292,11292,303
0A875,11292,11292,361
0A875,11292,12278,190
0A875,11292,14730,2929
0A875,11292,11292,1156
0A875,14869,11292,342
0A875,15304,11292,983
6725,11292,10849,2500
6003,11292,13264,0
6904,11109,13495,0
6904,11292,14107,0
6904,11423,14570,0
6910,10620,14683,567627
6910,11292,14771,1175210
6910,11292,11292,856546
6910,13891,11292,1399292
6910,14512,11292,1331386
6700,11292,11292,0
6700,11292,11292,0
6700,14457,11292,0
0A875,10529,10140,688
0A875,10849,11042,0
0A875,11292,14869,1529
0A875,11292,11292,324
0A875,11292,13930,575
0A875,11292,11292,837
0A875,11292,10194,262
0A875,11292,11292,684
0A875,11292,11292,17245
0A875,11775,13367,171
0A875,11884,13495,413
0A875,14570,14869,72
0A875,14771,11292,196833
0A875,15304,13198,916
6003,10140,15919,0
6003,11292,11292,0
6003,11292,11292,0
6003,11292,11292,0
6003,13198,11292,0
6460,11109,11292,0
6200,10194,11292,738980
6200,11292,11057,620058
6200,13244,11775,1402901
7041,10397,11775,0
7041,11292,11884,0
7041,11292,13198,0
6700,10372,13851,0
6700,11267,14122,0
6700,11292,14679,0
6700,11292,14683,0
6700,11298,11292,0
6700,11638,11042,0
6700,14107,11423,0
6700,14683,11292,0
0A875,10423,11109,1573
0A875,11057,11292,851
0A875,11292,12278,822
0A875,11292,11292,164
0A875,11292,10140,12
0A875,11292,15016,370
0A875,11292,10372,1076
0A875,11292,11292,64
0A875,11292,11697,918
0A875,11292,13487,311
0A875,11292,13891,1695
0A875,11775,14057,252
6725,11292,14747,14047
6460,11292,14831,0
6460,11423,15304,0
6460,13930,11292,0
1260,13487,11292,3649
7041,11292,11292,0
6700,10713,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,14869,11292,0
0A875,10397,10529,348
0A875,11292,14570,182
0A875,11292,14730,1835
0A875,11292,14869,211
0A875,11292,13198,2737
0A875,11292,11413,559
0A875,11292,11413,623
0A875,11292,11193,235
0A875,11986,11292,38
0A875,13198,11292,899
0A875,13891,14771,179
0A875,14100,11292,2057
0A875,14122,11292,85
0A875,15016,11292,1033
0A875,15304,11292,371
6725,11292,10529,6073
6725,11292,13871,6063
6725,11292,14524,3689
