PAYLOAD,FREIGHT,MAIL
967900,569,0
1013500,466,0
1301100,0,0
1126200,80,0
1405600,250,5277
1013500,431,3077
1127491,922,257
510690,0,0
493080,0,0
524720,0,0
425600,0,0
378000,0,0
378000,0,0
1020305,915,359
1094514,167,0
1170629,480,0
1215200,951,0
840000,0,0
840000,0,0
1016400,0,0
840000,0,0
840000,0,0
1013600,0,0
1276800,0,0
1276800,0,0
1013600,0,0
525460,0,0
311304,0,0
280000,0,0
1166600,195,521
1455800,201,2423
1351200,0,0
501885,0,0
388000,0,0
538270,0,0
1251431,3997,41631
1268046,1502,0
2943917,175205,9451
1029335,1307,12336
2330529,54130,1818
2919836,111333,592
1003400,1841,0
1302000,3713,0
1258600,8163,0
1003400,409,0
553668,0,0
1044000,0,0
1045200,0,0
1053600,0,0
870000,0,0
870000,0,0
870000,0,0
1049800,0,0
1044000,0,0
1044000,0,0
1049800,0,0
1049800,0,0
1049800,0,0
1038200,0,0
1049800,0,0
565880,23,0
586090,0,0
586090,0,0
1279360,1673,2297
1279360,3374,0
322422,0,0
311304,0,0
1551000,0,0
1551000,5603,17270
1127491,3000,0
1088612,4997,0
1166370,934,717
528300,0,0
528300,0,0
401500,0,0
562200,0,0
398000,0,0
456000,0,0
560960,0,0
401500,0,0
401500,0,0
562200,0,0
398000,0,0
2836187,64061,94184
1299030,694,0
3031887,344222,42972
2421885,314830,13993
979905,639,0
1256246,345,39216
1222413,1139,6242
1038000,7094,0
1302000,7290,0
1038000,5114,0
1038000,1784,0
572760,0,0
1380000,0,0
1380000,0,0
900000,0,0
1082400,0,0
900000,0,0
900000,0,0
1083600,0,0
900000,0,0
1380000,0,0
1380000,0,0
900000,0,0
900000,0,0
900000,0,0
1380000,0,0
1094400,0,0
1380000,0,0
1087200,0,0
1110000,0,0
1092000,0,0
1380000,0,0
1081200,0,0
900000,0,0
1083600,0,0
1104000,0,0
1380000,0,0
1380000,0,0
1380000,0,0
900000,0,0
900000,0,0
1380000,0,0
1105200,0,0
900000,0,0
1380000,0,0
1087200,0,0
1110000,0,0
1092000,0,0
1380000,0,0
1084800,0,0
900000,0,0
900000,0,0
1084800,0,0
1380000,0,0
1380000,0,0
1380000,0,0
1380000,0,0
900000,0,0
1092000,0,0
870000,0,0
1074000,0,0
870000,0,0
1227201,923,0
1186121,14054,0
333540,0,0
322422,0,0
1602700,1686,227
471200,0,0
471200,0,0
415000,0,0
471200,0,0
415000,0,0
471200,0,0
471200,0,0
1102165,14,0
1088106,186,0
1221212,242,10318
1115534,2019,13909
1081322,697,3066
1394238,0,40600
1072600,3239,0
930000,0,0
1426000,0,0
1126800,0,0
1149600,0,0
1126800,0,0
344658,0,0
344658,0,0
3920321,1946318,279975
1388800,0,0
1388800,0,0
1440725,1599,65
1440725,11066,1286
563520,0,0
597200,0,0
1139462,2301,13670
1309313,477,8776
1136123,214,4306
1432200,2890,0
1388800,5419,0
1388800,5345,0
1141800,4652,0
1388800,17855,0
1107200,7127,0
610944,0,0
960000,0,0
960000,0,0
4053241,2592196,27897
442000,0,0
501600,0,0
1475727,530,59489
1105723,1118,52500
1432200,1325,0
1432200,7280,0
1141800,3555,0
630036,0,0
1191600,0,0
1191600,0,0
6340967,2861762,0
366894,0,0
366894,0,0
1363000,1286,39
452000,0,0
1173503,320,0
1213420,9985,6089
1402794,936,30119
1432200,6857,0
1251600,0,0
378012,0,0
1718150,4926,0
465500,0,0
532000,0,0
1263884,3690,11064
1228073,2474,10332
1216233,248,0
1148023,235,0
1499656,598,6559
1032355,12,810
1519000,5383,0
1519000,7416,0
1211000,3868,0
1211000,2922,0
1519000,5450,0
1519000,7865,0
1294800,0,0
4305903,2576162,0
4308926,3056879,0
389130,0,0
400248,0,0
378012,0,0
1767240,2003,1784
633960,0,0
469000,0,0
486000,0,0
479000,0,0
475500,0,0
1464422,3509,21074
1263845,2797,22176
1562400,20632,0
687312,0,0
400248,0,0
3860657,2547707,24458
1816330,14700,15768
1240056,3415,159
1205610,7666,3989
651570,0,0
499500,0,0
1647839,963,43297
1650380,5066,49414
1282143,189,0
1274427,854,17563
1300637,758,13284
1496393,1118,47024
1344205,1549,21376
1280200,917,0
1280200,13681,0
1280200,4064,0
1280200,3250,0
1605800,6723,0
411366,0,0
506000,0,0
506000,0,0
1342729,6000,12898
1280200,7039,0
1314800,5181,0
1185240,4141,3993
433602,0,0
1349400,9331,0
1220100,1856,0
1349400,7185,0
1257230,610,0
1378403,3569,0
1428551,9102,23238
608000,0,0
180000,0,0
1382661,441,2148
608000,0,0
529500,0,0
1371985,1089,9758
1380308,210,0
1443020,92,0
1464197,620,0
1501396,3087,25177
1322189,1674,21481
1452029,39,0
1779400,3863,0
1779400,8682,0
180000,0,0
1308948,7710,1601
638400,0,0
638400,0,0
638400,0,0
556500,0,0
638400,0,0
1450992,2812,0
1804225,2061,23689
1418600,15999,0
1822800,23466,0
1285700,0,0
1343394,1083,48
653600,0,0
1394121,83,0
1498183,1556,1628
1285700,1512,168
757230,0,0
1812400,2266,56522
1851767,1511,13487
1931438,1178,255
1423502,482,8914
1909600,7872,0
1909600,6124,0
827670,0,0
600500,0,0
1598251,5090,18839
2070000,0,0
2070000,0,0
699200,0,0
699200,0,0
699200,0,0
1865886,18225,25930
2154661,15937,7241
1805350,418,43975
1631725,446,0
511428,0,0
207000,0,0
1788434,1727,0
617500,0,0
714400,0,0
1642081,9437,18913
1604832,169,0
1959851,4324,42659
2267265,6677,89632
1677356,6438,21421
2039800,27946,0
2039800,40569,0
897324,0,0
202500,0,0
1956960,7102,417
1795190,3605,6016
1956860,16456,19662
641000,0,0
1887524,482,11828
2261341,10665,44602
1660800,3298,0
1833360,2608,58
1827313,729,0
862890,0,0
862890,0,0
862890,0,0
658000,0,0
631000,0,0
744800,0,0
1975044,1648,6423
2182461,4512,10884
1660800,21866,0
490000,0,0
548134,0,0
671500,0,0
671500,0,0
931665,0,0
2044645,52536,3227
2170000,17156,0
560826,0,0
949310,0,0
664500,0,0
775200,0,0
1764600,7460,0
305500,0,0
299000,0,0
681500,0,0
695000,0,0
698500,0,0
691500,0,0
681500,0,0
2168304,2650,16993
2147744,759,34846
2256800,30930,0
1799200,4387,0
578136,0,0
578136,0,0
78400,0,0
81600,0,0
104000,0,0
81600,0,0
78400,0,0
83200,0,0
104000,0,0
83200,0,0
102000,0,0
898110,0,0
712000,0,0
702000,0,0
1942938,7890,8660
1011876,0,0
589254,0,0
578136,0,0
729000,0,0
820800,0,0
2245544,3000,62158
2361377,10033,9054
1868400,22635,0
1868400,10330,0
1799200,2684,0
1620000,0,0
1620000,0,0
106000,0,0
2736800,9093,3993
968550,0,0
968550,0,0
742500,0,0
729000,0,0
1960481,991,0
2281919,7774,49046
1933391,509,0
1868400,18724,0
2786560,18819,36350
756000,0,0
749000,0,0
756000,0,0
749000,0,0
749000,0,0
742500,0,0
749000,0,0
745500,0,0
2281158,66,0
2256624,5161,0
2266106,2767,21104
2304809,655,16729
2006800,21072,0
1937600,19984,0
2387000,6138,0
1903000,22565,0
2053200,0,0
2053200,0,0
622608,0,0
611490,0,0
622608,0,0
89600,0,0
89600,0,0
759000,0,0
2537143,468,4591
1972200,26489,0
1937600,10150,0
1710000,0,0
2063400,0,0
633726,0,0
633726,0,0
2131800,0,0
2131800,0,0
1704300,574,0
1704300,14660,1866
1021380,0,0
866400,0,0
1082880,0,0
1076555,0,0
1082880,0,0
2067995,4198,45939
2172192,388,7861
2517200,11838,0
2006800,12709,0
1740000,0,0
655962,0,0
644844,0,0
2380000,2772,24115
2257900,1876,171
772500,0,0
786000,0,0
2073162,1582,0
2041922,6867,17941
2648637,3784,37158
2145600,0,0
2714000,0,0
2714000,0,0
2714000,0,0
2138400,0,0
2135800,0,0
2124000,0,0
655962,0,0
655962,0,0
2420400,2826,6142
2420500,7877,9307
2421900,646,3503
1094295,0,0
789500,0,0
799500,0,0
799500,0,0
1093740,0,0
789500,0,0
1115305,0,0
1093740,0,0
1116305,0,0
2571316,4761,12668
2557601,821,11749
2196000,0,0
2179200,0,0
2179200,0,0
2187600,0,0
2202000,0,0
2760000,0,0
2168400,0,0
2184000,0,0
667080,0,0
667080,0,0
3153700,425,2746
2110600,33657,0
2110600,10426,0
2110600,47936,0
1091820,0,0
2145200,45759,0
1074210,0,0
826500,0,0
1091820,0,0
2734200,21268,0
700434,0,0
2676111,1025,0
711552,0,0
2562393,24015,58720
870500,0,0
870500,0,0
2798345,5354,16114
2284539,2863,18908
