FLIGHT_NUMBER,DISTANCE,AIR_TIME,FREIGHT,PASSENGERS,ORIGIN_STATE_ABR,DEST_STATE_ABR,UNIQUE_CARRIER_ENTITY
621,1201,1029,0,421,OH,CO,6700
622,834,740,0,363,CO,CA,6700
623,1337,1020,0,412,CO,NC,6700
624,964,828,0,272,CO,OR,6700
625,1040,939,0,190,CO,OR,6700
626,589,515,0,330,IA,CO,6700
627,752,603,0,329,MT,CO,6700
628,420,389,0,384,KS,CO,6700
629,872,716,0,392,TN,CO,6700
630,604,492,0,325,ND,CO,6700
631,1040,790,0,222,OR,CO,6700
632,898,642,0,300,OR,CO,6700
633,916,774,0,248,CA,CO,6700
634,541,482,0,382,OK,CO,6700
635,639,544,0,375,AZ,CO,6700
636,775,618,174,937,TX,CO,0A875
637,1123,829,86,850,CO,MI,0A875
638,1015,719,0,727,CO,MI,0A875
639,977,690,0,930,CO,IN,0A875
640,533,436,0,795,CO,MO,0A875
641,896,647,2,780,CO,WI,0A875
642,1062,781,0,811,CO,LA,0A875
643,1605,1246,65896,2053,NJ,CO,0A875
644,977,822,0,954,IN,CO,0A875
645,977,854,34,755,IN,CO,0A875
646,964,713,0,755,OR,CO,0A875
647,896,771,122,817,WI,CO,0A875
648,1558,1270,121,761,PA,CO,0A875
649,1703,1240,0,801,CO,FL,6725
650,1447,1242,391,1157,CO,FL,6725
651,533,424,8,989,CO,MO,6725
652,957,798,889,753,CO,CA,6725
653,495,407,497,994,CO,OK,6725
654,1447,1138,0,915,FL,CO,6725
655,967,717,1786,885,CA,CO,6725
656,391,348,1409,1002,UT,CO,6725
657,1199,981,0,398,GA,CO,6003
658,1199,738,0,308,CO,GA,6003
659,641,588,0,400,CO,TX,6003
660,472,373,0,387,CO,NE,6003
661,1024,771,0,397,CO,KY,6003
662,207,215,125368,0,CO,CO,6200
663,872,659,367675,0,CO,TN,6200
664,872,652,460413,0,CO,TN,6200
665,207,227,66319,0,CO,CO,6200
666,872,716,465747,0,TN,CO,6200
667,483,404,0,251,CO,SD,6904
668,420,444,0,921,CO,NV,6035
669,420,408,0,858,NV,CO,6035
670,1162,960,0,453,CO,TN,7041
671,1162,1116,0,450,TN,CO,7041
672,775,779,0,419,TX,CO,6700
673,845,831,0,448,CA,CO,6700
674,1337,1380,0,503,NC,CO,6700
675,212,257,0,430,CO,CO,6700
676,1482,1283,0,489,CO,VA,6700
677,1482,1601,0,480,VA,CO,6700
678,455,427,123,843,MT,CO,0A875
679,649,646,0,877,ID,CO,0A875
680,850,776,94,630,CA,CO,0A875
681,455,461,314,904,CO,MT,0A875
682,649,620,495,862,CO,ID,0A875
683,850,832,89,701,CO,CA,0A875
684,589,535,694,869,CO,IA,0A875
685,996,950,9,802,CO,OR,0A875
686,996,929,34,706,CO,OR,0A875
