UNIQUE_CARRIER_ENTITY,WAC,CARRIER_GROUP
9900G,900,0
16144,10,1
6144,10,1
6143,10,1
11034,10,1
9368G,368,0
9736J,736,0
9486E,486,0
16760,10,3
6757,10,3
10847,10,3
10845,10,3
0A845,10,3
38295,10,1
9475E,475,0
9475F,475,0
6095,10,1
9427D,427,0
38294,10,1
6963,10,1
16681,10,1
6682,10,1
6681,10,1
38092,10,1
6991,10,1
6036,10,1
9482E,482,0
9148U,148,0
38215,10,1
6936,10,1
38247,1,1
6980,1,1
37626,1,1
6975,1,1
38285,1,1
6970,1,1
9388M,388,0
16793,10,1
6793,10,1
6792,10,1
9900Y,900,0
9148V,148,0
9259A,259,0
9368H,368,0
9486G,486,0
9486F,486,0
16190,10,1
6189,10,1
16189,10,1
6188,10,1
80024,10,7
9131D,131,0
6904,10,2
38011,10,1
9303G,303,0
99002,900,0
37803,10,1
6818,10,1
6847,10,1
38185,10,1
7900F,900,0
06917 (1),10,2
38291,10,1
6917,10,1
30856,10,1
6669,10,1
38286,10,1
6955,10,1
38278,10,1
6829,10,1
06925 (1),10,1
38049,10,1
38284,10,1
6925,10,1
9148W,148,0
06920 (1),10,2
30784,10,1
6920,10,1
38216,10,1
7021,10,1
38163,10,1
7018,10,1
38211,10,1
7900C,900,0
38222,10,1
6954,10,1
37976,10,1
37749,10,1
6953,10,1
9493S,493,0
16941,10,1
6941,10,1
06940 (1),10,1
38034,10,1
6940,10,1
6712,10,2
16300,10,1
6300,10,1
6299,10,1
38032,10,1
30410,10,1
6977,10,1
9486H,486,0
38025,10,1
6933,10,1
9493R,493,0
30627,10,1
6958,10,1
7900D,900,0
16927,10,1
06927 (1),10,1
38083,10,1
6927,10,1
30608,10,1
6924,10,1
38241,10,1
6923,10,1
2625,10,3
6894,10,1
38283,10,1
9778B,778,0
9493P,493,0
38290,10,1
6959,10,1
38261,10,1
6819,10,1
6926,10,1
38296,10,1
38156,10,1
6913,10,1
80051,10,7
16903,10,1
06903 (1),10,1
06902 (1),10,1
16896,10,1
6896,10,1
6895,10,1
6902,10,1
6903,10,1
37920,10,1
6957,10,1
16901,10,1
06901 (1),10,1
6900,10,1
6901,10,1
38178,10,1
30876,10,1
6961,10,1
30075,10,1
6962,10,1
7015,10,1
9900H,900,0
7900L,900,0
7900A,900,0
16716,10,2
6716,10,2
9110C,110,0
6693,10,1
9411A,411,0
6850,10,1
7020,10,1
37807,10,1
90063,425,0
16688,10,2
6688,10,2
6687,10,1
9900Z,900,0
6700,10,2
11025,10,3
30757,10,1
16765,10,1
6765,10,1
6764,10,1
16182,10,1
6184,10,1
6183,10,1
80019,10,7
16181,10,1
6182,10,1
6181,10,1
16180,10,1
6179,10,1
6178,10,1
9488C,488,0
16076,10,1
6077,10,1
6076,10,1
9429G,429,0
16056,10,2
6048,10,2
16055,10,2
6047,10,2
9900W,900,0
6706,10,2
6993,10,1
37930,10,1
6093,10,1
9529B,529,0
6976,10,1
38126,10,1
6971,1,1
38287,1,1
6987,1,1
80031,1,7
30449,1,1
90022,493,0
6969,1,1
38039,1,1
6967,1,1
6964,1,1
6996,10,1
38045,10,1
6990,10,1
37796,10,1
6989,1,1
38009,1,1
6982,10,1
38282,10,1
16713,10,1
6801,10,1
6800,10,1
6995,1,1
38017,1,1
6992,1,1
38053,1,1
6994,10,1
38036,10,1
38099,1,1
6965,1,1
9493H,493,0
16951,10,1
6951,10,1
38293,10,1
6984,1,1
38115,1,1
38269,1,1
6997,1,1
6978,10,1
38109,10,1
6979,10,1
6966,1,1
38002,1,1
6019,1,1
38154,1,1
6999,1,1
30912,1,1
19741,10,1
9740,10,1
9739,10,1
6791,10,1
16700,10,1
16790,10,2
6790,10,2
6789,10,1
7900H,900,0
6983,1,1
30498,1,1
6769,10,1
9337E,337,0
38235,10,1
6974,10,1
9224L,224,0
17027,10,1
7027,10,1
7019,10,1
6973,38,1
38274,1,1
6081,10,1
16081,10,1
2040,10,3
12041,10,3
12040,10,3
11007,10,3
6909,10,1
38176,10,1
16171,10,3
6170,10,3
16170,10,3
80056,10,7
37996,10,1
6932,10,1
9493T,493,0
9469D,469,0
6891,10,1
9713D,713,0
38084,10,1
7024,10,1
11027,10,2
7900Q,900,0
16044,10,1
6045,10,1
6044,10,1
6085,10,3
16085,10,3
37780,10,1
37722,10,1
6934,10,1
11024,10,3
6035,10,3
6683,10,1
6684,10,1
16683,10,2
16770 (1),10,1
06774 (1),10,1
6773,10,1
16770,10,1
6774,10,1
1141,10,1
7900I,900,0
37633,10,1
6130,10,1
16187,10,3
6187,10,3
9493B,493,0
7053,10,1
16736,10,2
6738,10,2
6736,10,1
38029,10,1
6689,10,1
11022,10,2
9790,10,1
7900P,900,0
9493U,493,0
7025,10,1
6968,1,1
38292,1,1
10654,10,3
10653,10,3
10652,10,3
1656,10,3
9162B,162,0
6766,10,1
16766,10,1
16752,10,1
6752,10,1
6749,10,1
16749,10,1
30332,10,1
6935,10,1
7016,10,1
9486I,486,0
9636C,636,0
9678A,678,0
6140,10,2
7900K,900,0
9327E,327,0
9469C,469,0
7028,10,1
11030,10,2
37884,10,1
6820,10,2
16820,10,3
37775,10,1
16777,10,1
16776,10,1
6777,10,1
6776,10,1
16165,10,1
6165,10,1
6164,10,1
6888,10,1
38191,10,1
6690,10,1
16690,10,1
6691,10,1
6194,10,2
38219,10,1
6956,10,1
11049,10,1
7029,10,1
17022,10,1
7022,10,1
6041,10,1
6943,10,1
38265,10,1
6860,1,1
38125,1,1
16673,10,3
6673,10,3
7900M,900,0
6899,10,1
6733,10,1
6972,10,1
38148,10,1
38076,10,1
16194,10,2
6196,10,2
16730,10,2
6730,10,2
6830,10,2
16831,10,2
37671,10,1
11026,10,2
6186,10,2
30338,10,1
6947,10,1
11035,10,2
9153A,153,0
16038,10,1
06038 (1),10,1
6037,10,1
16039,10,1
6039,10,1
6038,10,1
16795,10,2
6795,10,2
6794,10,1
16921,10,2
6921,10,2
6942,10,1
38257,10,1
16919,10,1
6919,10,1
06918 (1),10,1
30890,10,1
7023,10,1
6918,10,1
30491,10,1
91482,148,0
91484,148,0
7148B,148,0
7148C,148,0
7148D,148,0
7148E,148,0
2330,10,2
16461,10,3
6460,10,3
16460,10,2
16030,10,2
6030,10,2
9900U,900,0
7030,1,1
9327C,327,0
6694,10,2
9316G,316,0
6981,1,1
38279,1,1
9493V,493,0
6944,10,1
38164,10,1
9148I,148,0
16917,10,1
06911 (1),10,1
6912,10,2
6911,10,1
38277,10,1
9427I,427,0
16006,10,1
6006,10,1
6004,10,1
9746B,749,0
11038,10,2
11029,10,2
6003,10,2
80006,10,3
11009,10,3
11018,10,3
16211,10,1
6985,1,1
38245,1,1
9493N,493,0
7041,10,2
9900X,900,0
7050,10,1
17050,10,1
17051,10,1
10004,204,0
10005,429,0
1100,1,1
1113,10,1
71002,403,0
71003,482,0
71004,493,0
71005,461,0
71006,148,0
1124,10,1
11005,10,1
71007,493,0
71008,162,0
1126,10,1
71009,303,0
1127,10,1
71010,486,0
71011,469,0
71013,678,0
1129,1,1
71014,493,0
71015,350,0
71016,851,0
71017,427,0
71018,736,0
71019,403,0
71020,316,0
71021,486,0
71022,900,0
71024,388,0
71025,409,0
71026,316,0
71029,403,0
71031,454,0
1130,10,1
1131,10,2
11015,10,2
1006,10,1
11020,10,2
1133,10,1
71032,900,0
71033,429,0
71034,450,0
71035,429,0
71036,713,0
71037,486,0
1136,10,1
71038,148,0
1139,10,1
71039,770,0
71040,900,0
71041,900,0
1142,10,1
11021,10,1
1143,10,1
71043,419,0
71044,493,0
1145,10,1
71047,388,0
71048,733,0
71049,664,0
71050,713,0
71051,713,0
71053,403,0
