AIRCRAFT_CONFIG,SEATS,PASSENGERS
1,4500,4253
1,6900,5830
1,5400,5262
1,6900,6427
1,5400,4884
1,5400,5282
1,5400,5107
1,6900,6484
1,5400,4952
1,4500,4247
1,5400,4881
1,5400,5035
1,6900,6608
1,6900,6379
1,6900,5959
1,4500,4193
1,4500,4219
1,6900,6328
1,5400,5148
1,4500,4243
1,6900,6482
1,5400,4934
1,5400,5291
1,5400,4940
1,6900,6037
1,5400,5089
1,4500,4107
1,4500,4175
1,5400,4543
1,6900,6308
1,6900,6262
1,6900,6107
1,6900,6556
1,4500,4031
1,5400,4029
1,4350,3682
1,5400,4741
1,4350,3987
1,5373,4766
1,5195,4770
1,1500,1222
1,1450,1273
1,5797,5483
1,2356,1950
1,2356,1922
1,1550,1379
1,2356,1809
1,1550,1101
1,2356,2193
1,2356,1889
1,3968,3211
1,4650,4354
1,5122,4866
1,4650,4038
1,4650,4094
1,5549,4744
1,4433,3996
1,4650,4458
1,7130,6614
1,5580,5280
1,5580,5327
1,5580,5338
1,1550,1394
1,1550,1343
2,0,0
1,6400,5404
1,6400,5414
1,5907,4522
1,5906,5168
1,2240,1961
1,2240,1743
1,4800,4612
1,5716,5316
1,4096,3890
1,5775,5118
1,5600,5247
1,5600,5184
1,4719,4319
1,5600,5312
1,4576,4049
1,2240,1891
1,4800,4642
1,4800,4263
2,0,0
1,1650,1445
1,2508,2034
1,5907,5265
1,4224,3938
1,5775,5318
1,5775,5196
1,4719,4278
1,2309,2209
1,5940,5468
1,5940,5574
2,0,0
1,1650,1458
1,1650,1207
1,5440,4423
1,1700,1613
1,4224,3904
1,5100,4826
1,6086,5667
1,5775,5383
1,6120,5791
1,1700,1381
1,6300,5660
1,1750,1473
1,2660,2369
1,5250,4739
1,4480,3967
1,5100,4905
1,4352,3980
1,6265,5720
1,4480,4076
1,6125,5859
1,6125,5678
1,5005,4406
1,5005,4586
1,6125,5159
1,6125,5689
1,6300,5851
2,0,0
2,0,0
1,1750,1561
1,1800,1694
1,1700,1456
1,6480,6096
1,2520,2229
1,1750,1487
1,1800,1519
1,1800,1546
1,1800,1418
1,5964,5509
1,5400,4873
1,6300,4411
1,2520,2188
1,1800,1612
2,0,0
1,6660,6261
1,4752,4559
1,4619,4346
1,2590,2012
1,1850,1585
1,6623,6129
1,6432,5611
1,4608,4159
1,5550,5164
1,4736,4461
1,6094,5570
1,5700,5281
1,5291,4737
1,5291,4958
1,5291,4990
1,5291,4886
1,6475,6252
1,1850,1478
1,1900,1568
1,1900,1382
1,4864,4290
1,5291,5135
1,5434,4814
1,4216,3939
1,1950,1542
1,5577,5182
1,4340,4029
1,5577,4784
1,4992,4248
1,4992,4415
1,6000,5580
1,3040,2804
1,760,382
1,4992,4638
1,3040,2826
1,2000,1453
1,4992,4750
1,5248,3950
1,5248,3976
1,6150,4739
1,6300,5843
1,5248,5009
1,5248,4051
1,7175,6430
1,7175,6641
1,760,351
1,5016,4557
1,3192,2660
1,3192,2630
1,3192,2448
1,2100,1887
1,3192,2797
1,5376,4866
1,7518,6536
1,5863,4751
1,7350,5983
1,4729,4337
1,5148,4489
1,3268,3017
1,6450,5042
1,6450,6246
1,4728,4378
1,3010,2565
1,7280,6246
1,7876,7006
1,7876,7196
1,5632,5065
1,7700,7402
1,7700,7077
1,3290,3004
1,2250,1747
1,6750,6406
1,10350,9407
1,10350,9732
1,3496,3249
1,3496,3110
1,3496,3231
1,8234,7491
1,8389,7767
1,7612,6859
1,5888,5284
1,2300,2129
1,874,381
1,7360,6261
1,2300,1757
1,3572,2847
1,7050,6450
1,5888,5287
1,8401,6895
1,7943,7486
1,7050,6692
1,8225,7485
1,8225,7583
1,3289,3090
1,855,385
1,7680,7288
1,7427,7061
1,7679,7342
1,2400,2134
1,7944,7395
1,8112,7386
1,6864,6423
1,7583,7029
1,7499,6666
1,3430,3165
1,3430,2769
1,3430,2522
1,2450,1877
1,2350,2083
1,3724,2747
1,8098,7447
1,8759,7755
1,6864,6315
1,2450,2193
1,2500,2024
1,2500,2016
1,2500,1892
1,3500,2878
1,8288,5427
1,8750,7861
1,2550,1858
1,3570,2245
1,2500,1912
1,3876,3307
1,7293,6809
1,1410,730
1,1380,758
1,2550,828
1,2600,1949
1,2600,1185
1,2600,1975
1,2550,787
1,8620,7204
1,8620,7769
1,9100,8402
1,7436,6899
1,2600,1759
1,2600,1671
1,392,348
1,408,321
1,416,385
1,408,312
1,392,346
1,416,250
1,416,345
1,416,242
1,408,356
1,3570,3095
1,2650,1249
1,2600,2314
1,8774,7770
1,3710,3288
1,2650,2218
1,2600,2043
1,2700,2274
1,4104,3739
1,9666,8320
1,9654,8865
1,7722,7356
1,7722,6379
1,7436,6864
1,8100,7563
1,8100,7396
1,424,377
1,10429,9463
1,3850,3151
1,3850,2931
1,2750,1957
1,2700,1836
1,8100,6807
1,8986,8408
1,8100,7154
1,7722,7434
1,10598,10174
1,2800,1970
1,2800,2215
1,2800,2485
1,2800,1516
1,2800,2138
1,2750,2455
1,2800,1440
1,2800,2470
1,9284,6757
1,9284,7746
1,9200,8156
1,10203,9127
1,8294,7547
1,8008,7652
1,9625,8998
1,7865,7596
1,10080,8093
1,10080,9464
1,2800,2258
1,2750,2259
1,2800,2414
1,448,264
1,448,247
1,2850,2603
1,10191,8385
1,8151,7873
1,8008,6700
1,8550,7902
1,10260,9398
1,2850,2116
1,2850,2581
1,8550,7738
1,8550,7713
1,6268,5771
1,6267,5631
1,4060,3687
1,4332,3772
1,4408,4104
1,4052,2578
1,4408,3746
1,7424,6906
1,9604,8272
1,10150,9769
1,8294,7503
1,8700,8258
1,2950,2362
1,2900,2640
1,9440,8248
1,8960,8000
1,2900,2554
1,2950,2615
1,7552,5383
1,7552,6189
1,10740,9954
1,10620,9470
1,13570,11739
1,13570,12093
1,13570,12625
1,10620,9957
1,10620,9401
1,10620,9995
1,2950,2200
1,2950,2374
1,9600,8320
1,9600,7971
1,9600,8619
1,4121,1761
1,2950,2436
1,3000,2397
1,3000,2645
1,4130,3386
1,2950,2410
1,4200,3171
1,4130,3310
1,4200,3196
1,10561,10011
1,10919,9290
1,10800,9170
1,10800,9390
1,10800,10202
1,10800,10040
1,10800,9769
1,13800,13187
1,10800,10251
1,10800,9627
1,3000,2567
1,3000,2625
1,11407,10642
1,8723,8200
1,8723,7814
1,8723,7995
1,4340,3905
1,8866,8179
1,4270,3039
1,3100,2909
1,4340,3257
1,11025,10585
1,3150,2600
1,11635,10685
1,3200,2586
1,10706,9640
1,3250,2787
1,3250,2393
1,11623,10852
1,8448,7912
1,10896,10280
1,11550,10749
1,3350,2710
1,3400,2496
1,3450,2345
1,10350,8437
1,8960,8081
1,10500,9050
1,9867,8701
1,12250,9871
1,10153,9408
1,11940,11333
1,3600,3000
1,3600,2544
1,10582,9909
1,12775,11877
1,3700,2893
1,12950,9705
1,10582,8844
1,5180,4391
1,10582,10120
1,3750,2700
1,11011,8432
1,13475,12212
1,10868,10296
1,13300,12180
1,3850,2362
1,12770,11953
1,624,530
1,1463,236
1,1444,231
1,624,506
1,11440,10611
1,11297,10537
1,11297,10387
1,14122,12319
1,12946,11879
1,11850,11062
1,14122,12963
1,11850,10909
1,14296,12461
1,14400,13523
1,13434,12628
1,14487,12784
1,10500,9842
1,4050,2780
1,14487,12112
1,14580,13293
1,11297,9579
1,10640,8618
1,11726,10664
1,14654,13447
1,14666,13890
1,14821,13876
1,11869,9727
1,11869,10912
1,11726,10509
1,11726,10876
1,11297,10491
1,12155,11440
1,12012,10802
1,14350,13559
1,12155,10038
1,14875,14138
1,6460,5933
1,15036,13156
1,4300,3831
1,12155,11518
1,4300,3801
1,12298,11793
1,12441,9926
1,12441,11057
1,15050,13995
1,12298,11708
1,4450,3407
1,12584,11541
1,11264,9410
1,4450,3526
1,15400,13200
1,6688,5376
1,6641,5087
1,6688,5171
1,11264,9969
1,6656,5630
1,13013,11998
1,6840,5911
1,13950,13073
1,14720,12937
1,14720,13418
1,13585,12588
1,16800,15853
1,14014,12290
1,13871,13038
1,14157,12813
1,7600,7063
1,18079,15891
1,7676,7262
1,5000,4373
1,16740,13560
1,14443,13754
1,14586,13816
1,15600,14717
1,15015,13849
1,15158,13592
1,15444,13584
1,8208,7633
1,15587,14803
1,7840,6090
1,7910,6129
1,16159,14048
1,16302,15001
1,18992,15815
1,17160,15625
1,16380,14255
1,16520,14678
1,21175,19851
1,17732,16528
1,22400,19734
1,6350,5618
1,19350,18031
1,18590,17542
1,18733,17304
1,18876,17356
1,6750,5616
1,22682,21180
1,10488,9952
1,10488,9644
1,20163,18123
1,20306,18540
1,22448,21790
1,20735,18725
